INFO  - 2017-10-25 09:42:49.108; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2017-10-25 09:42:49.108; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2017-10-25 09:42:49.119; org.apache.solr.core.CachingDirectoryFactory; return new directory for /home/nsparks/solr-4.10.4/example/solr/collection1/data
INFO  - 2017-10-25 09:42:49.123; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/home/nsparks/solr-4.10.4/example/solr/collection1/data/index/
WARN  - 2017-10-25 09:42:49.124; org.apache.solr.core.SolrCore; [collection1] Solr index directory '/home/nsparks/solr-4.10.4/example/solr/collection1/data/index' doesn't exist. Creating new index...
INFO  - 2017-10-25 09:42:49.130; org.apache.solr.core.CachingDirectoryFactory; return new directory for /home/nsparks/solr-4.10.4/example/solr/collection1/data/index
INFO  - 2017-10-25 09:42:49.237; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@/home/nsparks/solr-4.10.4/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/home/nsparks/solr-4.10.4/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2017-10-25 09:42:49.238; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2017-10-25 09:42:49.243; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2017-10-25 09:42:49.243; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2017-10-25 09:42:49.244; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2017-10-25 09:42:49.248; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2017-10-25 09:42:49.249; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2017-10-25 09:42:49.343; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
